Action,Application,Attribute Name,Attribute Value,Date,Source,Target
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskDefinition:DHG TaskDefinition Update Scope
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/3/23, 10:53 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/4/23, 9:19 AM",spadmin,TaskSchedule:DHG Workday Full Aggregation and Refresh Sequential Task
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/9/23, 2:50 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/9/23, 3:27 PM",spadmin,Rule:DHG Rule IdentityAttribute Source DisplayName
Create,,,,"5/9/23, 3:31 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/9/23, 3:31 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/9/23, 3:31 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/9/23, 3:31 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/9/23, 3:31 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/10/23, 3:26 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/10/23, 3:26 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/10/23, 3:26 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/10/23, 3:26 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/10/23, 3:26 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/12/23, 10:11 AM",lxe652,TaskDefinition:DHG Report Identity Access Request Report
Create,,,,"5/12/23, 10:14 AM",lxe652,TaskDefinition:Automated Provisioning Transaction Object Report for lxe652
Create,,,,"5/12/23, 1:20 PM",eej316,Application:Test CPD APP
Create,,,,"5/12/23, 1:27 PM",eej316,Application:Test CPD
Create,,,,"5/11/23, 11:24 AM",spadmin,Rule:LS ALD Rule AfterProvisioning Process Zendesk
Create,,,,"5/11/23, 11:25 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/11/23, 11:25 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/11/23, 11:25 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/11/23, 11:25 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/11/23, 11:25 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/15/23, 2:25 PM",spadmin,Rule:DX CPD IdentityAttributeTarget Department
Create,,,,"5/15/23, 2:26 PM",spadmin,Rule:DHG Rule IdentityAttribute Department
Create,,,,"5/15/23, 2:30 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/15/23, 2:30 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/15/23, 2:30 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/15/23, 2:30 PM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/15/23, 2:30 PM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/16/23, 5:33 AM",Services,TaskDefinition:Data Collector Plugin Environment Information Report
Create,IIQ,,name = 'DHG_IGA_Splunk_User',"5/16/23, 10:12 AM",obz770,DHG_IGA_Splunk_User
Create,,,,"5/16/23, 5:23 AM",spadmin,Capability:SupportDataCollectorPlugin
Create,,,,"5/16/23, 5:28 AM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/16/23, 5:28 AM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/16/23, 5:28 AM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
Create,,,,"5/16/23, 5:28 AM",spadmin,TaskSchedule:Perform maintenance
Create,,,,"5/16/23, 5:28 AM",spadmin,TaskSchedule:Perform Trusted CA Tests
Create,,,,"5/17/23, 2:27 PM",spadmin,TaskSchedule:Perform Identity Request Maintenance
Create,,,,"5/17/23, 2:27 PM",spadmin,TaskSchedule:Perform Maintenance - Certifications
Create,,,,"5/17/23, 2:27 PM",spadmin,TaskSchedule:Perform Maintenance - Prune and Archive
